time,geo_value,geo_type,covid,Season,flu,rsv
2024-09-28,East,OH Region,174,2024-2025,1,2
2024-09-28,North East,OH Region,57,2024-2025,0,0
2024-09-28,North West,OH Region,14,2024-2025,1,0
2024-09-28,Ontario,Province,784,2024-2025,37,16
2024-09-28,Toronto,OH Region,149,2024-2025,5,1
2024-09-28,West,OH Region,246,2024-2025,28,10
2024-09-21,Central,OH Region,135,2024-2025,3,2
2024-09-21,East,OH Region,181,2024-2025,1,1
2024-09-21,North East,OH Region,45,2024-2025,0,0
2024-09-21,North West,OH Region,10,2024-2025,0,0
2024-09-21,Ontario,Province,771,2024-2025,40,18
2024-09-21,Toronto,OH Region,163,2024-2025,3,1
2024-09-21,West,OH Region,247,2024-2025,32,14
2024-09-14,Central,OH Region,132,2024-2025,1,0
2024-09-14,East,OH Region,136,2024-2025,1,0
2024-09-14,North East,OH Region,37,2024-2025,0,0
2024-09-14,North West,OH Region,10,2024-2025,0,0
2024-09-14,Ontario,Province,669,2024-2025,40,15
2024-09-14,Toronto,OH Region,146,2024-2025,3,2
2024-09-14,West,OH Region,205,2024-2025,35,13
2024-09-07,Central,OH Region,118,2024-2025,3,2
2024-09-07,East,OH Region,134,2024-2025,1,0
2024-09-07,North East,OH Region,32,2024-2025,2,0
2024-09-07,North West,OH Region,17,2024-2025,0,0
2024-09-07,Ontario,Province,641,2024-2025,39,15
2024-09-07,Toronto,OH Region,148,2024-2025,2,1
2024-09-07,West,OH Region,192,2024-2025,32,11
2024-08-31,Central,OH Region,127,2024-2025,2,2
2024-08-31,East,OH Region,157,2024-2025,1,1
2024-08-31,North East,OH Region,25,2024-2025,0,0
2024-08-31,North West,OH Region,18,2024-2025,0,0
2024-08-31,Ontario,Province,671,2024-2025,35,13
2024-08-31,Toronto,OH Region,153,2024-2025,1,0
2024-08-31,West,OH Region,189,2024-2025,30,10
2024-08-24,Central,OH Region,119,2023-2024,1,2
2024-08-24,East,OH Region,167,2023-2024,0,0
2024-08-24,North East,OH Region,46,2023-2024,0,0
2024-08-24,North West,OH Region,14,2023-2024,0,0
2024-08-24,Ontario,Province,684,2023-2024,28,14
2024-08-24,Toronto,OH Region,136,2023-2024,1,2
2024-08-24,West,OH Region,204,2023-2024,26,10
2024-08-17,Central,OH Region,124,2023-2024,2,1
2024-08-17,East,OH Region,157,2023-2024,0,1
2024-08-17,North East,OH Region,46,2023-2024,0,0
2024-08-17,North West,OH Region,9,2023-2024,0,0
2024-08-17,Ontario,Province,627,2023-2024,31,15
2024-08-17,Toronto,OH Region,114,2023-2024,1,2
2024-08-17,West,OH Region,177,2023-2024,28,10
2024-08-10,Central,OH Region,133,2023-2024,1,1
2024-08-10,East,OH Region,150,2023-2024,2,0
2024-08-10,North East,OH Region,18,2023-2024,0,0
2024-08-10,North West,OH Region,7,2023-2024,0,0
2024-08-10,Ontario,Province,530,2023-2024,36,14
2024-08-10,Toronto,OH Region,96,2023-2024,1,1
2024-08-10,West,OH Region,142,2023-2024,31,11
2024-08-03,Central,OH Region,96,2023-2024,0,1
2024-08-03,East,OH Region,138,2023-2024,0,1
2024-08-03,North East,OH Region,10,2023-2024,0,0
2024-08-03,North West,OH Region,16,2023-2024,0,0
2024-08-03,Ontario,Province,454,2023-2024,34,15
2024-08-03,Toronto,OH Region,93,2023-2024,2,2
2024-08-03,West,OH Region,123,2023-2024,30,10
2024-07-27,Central,OH Region,88,2023-2024,0,2
2024-07-27,East,OH Region,225,2023-2024,1,1
2024-07-27,North East,OH Region,17,2023-2024,0,0
2024-07-27,North West,OH Region,19,2023-2024,0,0
2024-07-27,Ontario,Province,440,2023-2024,44,18
2024-07-27,Toronto,OH Region,97,2023-2024,8,3
2024-07-27,West,OH Region,102,2023-2024,34,12
2024-07-20,Central,OH Region,90,2023-2024,3,2
2024-07-20,East,OH Region,129,2023-2024,3,1
2024-07-20,North East,OH Region,24,2023-2024,0,0
2024-07-20,North West,OH Region,19,2023-2024,0,0
2024-07-20,Ontario,Province,442,2023-2024,50,22
2024-07-20,Toronto,OH Region,102,2023-2024,8,2
2024-07-20,West,OH Region,96,2023-2024,35,16
2024-07-13,Central,OH Region,106,2023-2024,4,1
2024-07-13,East,OH Region,92,2023-2024,1,1
2024-07-13,North East,OH Region,19,2023-2024,0,0
2024-07-13,North West,OH Region,10,2023-2024,0,0
2024-07-13,Ontario,Province,423,2023-2024,56,15
2024-07-13,Toronto,OH Region,92,2023-2024,9,3
2024-07-13,West,OH Region,104,2023-2024,40,11
2024-07-06,Central,OH Region,111,2023-2024,4,1
2024-07-06,East,OH Region,72,2023-2024,1,1
2024-07-06,North East,OH Region,18,2023-2024,0,0
2024-07-06,North West,OH Region,4,2023-2024,0,0
2024-07-06,Ontario,Province,378,2023-2024,52,17
2024-07-06,Toronto,OH Region,77,2023-2024,9,2
2024-07-06,West,OH Region,96,2023-2024,38,13
2024-06-29,Central,OH Region,79,2023-2024,2,1
2024-06-29,East,OH Region,75,2023-2024,1,0
2024-06-29,North East,OH Region,22,2023-2024,0,0
2024-06-29,North West,OH Region,3,2023-2024,0,0
2024-06-29,Ontario,Province,358,2023-2024,40,16
2024-06-29,Toronto,OH Region,102,2023-2024,8,2
2024-06-29,West,OH Region,73,2023-2024,28,12
2024-06-22,Central,OH Region,81,2023-2024,2,1
